classe,Espindola_2.4G,BEATRIZ,NET 2G,#NET-CLARO-WIFI,Oi_93B7,TOPNET 99255-7919 GT SURF,ARTHUR,2G.MIMO.BEBY,GVT-53AA,CONVENIENCIA_TORTUGA,WIFI GLOBAL 227,Redmi Note 9S,Galaxy A20s6468,2313_Oi_Fibra,Araujo,A304_Oi_Fibra 2.4G,ViperNet_Salão ,Figueiredo 2.4,Salvato,CGU-V3208,70mai_Pro Plus+_8eb4,moto g(6) plus 3609,WIFI GLOBAL,NICOLAS,@Casadatapioca,Parangaricutirimirruaro,net-325,VIVO-FCA1,FARMA POPULAR,,732A_Fibra 2 G
sala,56,39,24,30,26,32,28,0,0,22,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,59,48,32,32,27,31,29,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,54,40,24,22,28,34,27,0,0,23,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cozinha,63,33,37,36,27,23,22,22,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cozinha,68,37,40,39,26,31,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cozinha,66,39,41,41,29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cozinha,60,32,46,46,30,26,22,0,0,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cozinha,59,32,45,45,32,29,22,24,0,26,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cozinha,65,30,36,35,30,32,23,28,0,26,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cozinha,59,31,45,45,27,30,19,30,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
varanda2,52,29,38,38,26,0,0,0,0,0,25,0,0,0,36,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
varanda2,43,25,32,27,29,30,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
varanda2,49,23,40,36,28,29,27,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
varanda2,53,24,41,33,26,24,25,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
varanda2,44,28,44,35,26,24,29,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,29,0,0,20,0,0,0,0,0
varanda2,50,23,42,33,29,24,27,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,33,0,0,20,0,0,0,0,0
varanda2,46,26,43,36,32,0,29,0,0,0,22,0,0,0,34,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
varanda,49,56,50,26,36,48,0,30,0,33,30,0,0,32,0,29,30,0,26,0,0,0,0,0,0,0,25,0,0,0,0
varanda,50,44,47,47,43,38,22,33,39,31,35,0,0,26,0,25,28,0,26,0,0,0,0,0,0,0,0,0,0,0,0
varanda,49,42,47,46,42,40,22,31,39,33,36,0,0,26,0,25,29,0,33,0,0,0,0,0,0,0,0,0,0,0,0
varanda,49,42,45,44,41,42,24,31,28,33,37,0,0,36,0,25,29,0,37,0,0,0,0,0,0,0,0,25,0,0,0
varanda,47,46,45,45,44,37,25,29,28,33,35,0,0,29,0,0,25,0,37,0,0,0,0,0,0,0,0,25,0,0,0
varanda,46,48,48,48,42,48,19,33,33,32,35,0,0,27,0,22,28,0,37,0,0,0,0,0,0,0,0,27,0,0,0
varanda,44,56,52,51,40,51,19,31,33,31,34,0,0,35,0,22,28,0,37,0,0,0,0,0,0,0,0,27,27,0,0
quarto,62,34,42,41,27,25,22,24,0,0,20,0,0,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quarto,55,32,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quarto,52,33,29,29,22,25,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quarto,54,34,53,41,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,70,45,31,31,30,35,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,38,0
sala,70,38,30,30,30,32,26,29,0,0,0,0,0,25,0,24,0,0,0,0,0,0,21,0,0,0,0,0,0,41,0
sala,70,39,28,30,30,32,27,29,0,0,0,0,0,25,0,24,0,0,0,0,0,0,21,0,0,0,0,0,0,41,0
sala,70,44,28,28,0,33,27,29,0,0,0,0,0,25,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
sala,70,40,37,33,0,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
sala,70,42,37,33,33,30,25,23,0,23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
sala,70,40,33,33,36,30,23,22,0,21,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
sala,70,41,38,21,34,33,26,22,0,21,24,0,0,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
sala,70,42,32,21,40,35,27,22,0,21,24,0,0,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
sala,70,37,37,38,36,35,28,24,0,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
sala,70,42,36,35,36,36,25,26,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
sala,70,44,34,32,35,37,22,26,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
sala,70,42,29,29,35,31,24,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
sala,70,41,34,33,35,39,22,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
sala,64,40,26,26,37,31,23,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
sala,70,42,30,29,35,29,23,0,0,23,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
quarto,57,46,42,43,36,40,27,0,0,0,19,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
quarto,67,43,43,44,0,0,27,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
quarto,51,40,49,49,0,0,27,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
quarto,57,35,48,48,0,0,26,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
quarto,41,45,50,50,0,0,26,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quarto,66,36,48,47,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quarto,66,40,45,44,25,0,27,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
quarto,59,35,47,47,25,0,24,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
quarto,63,41,38,38,24,21,28,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
quarto,67,41,45,44,29,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
quarto,59,41,47,47,29,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
quarto,54,30,53,52,29,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
quarto,47,35,36,35,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
varanda,50,44,45,22,39,30,26,32,35,30,24,0,0,26,0,40,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
varanda,46,52,50,24,39,36,26,32,0,32,27,0,0,24,0,27,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0
varanda,43,57,48,22,0,40,0,40,0,32,21,0,0,30,0,31,0,26,0,0,0,0,0,0,0,0,24,0,0,0,0
varanda,38,52,37,22,44,40,0,40,0,30,21,0,0,31,0,31,0,26,24,0,0,0,0,0,0,0,24,0,0,0,0
